"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"8.50","0.16","0.35","1.60","0.039","24.00","147.00","0.9935","2.96","0.36","10.00","5"
"6.80","0.705","0.25","3.20","0.048","10.00","57.00","0.996","3.36","0.52","9.50","4"
"6.60","0.23","0.32","0.90","0.041","25.00","79.00","0.9926","3.39","0.54","10.20","7"
"7.30","0.24","0.34","15.40","0.05","38.00","174.00","0.9983","3.03","0.42","9.00","6"
"7.30","0.24","0.34","15.40","0.05","38.00","174.00","0.9983","3.03","0.42","9.00","6"
"8.00","0.42","0.36","5.00","0.037","34.00","101.00","0.992","3.13","0.57","12.30","7"
"7.30","0.24","0.34","15.40","0.05","38.00","174.00","0.9983","3.03","0.42","9.00","6"
"6.50","0.34","0.28","1.80","0.041","43.00","188.00","0.9928","3.13","0.37","9.60","6"
"5.50","0.42","0.09","1.60","0.019","18.00","68.00","0.9906","3.33","0.51","11.40","7"
"7.60","0.30","0.25","4.30","0.054","22.00","111.00","0.9956","3.12","0.49","9.20","5"
"5.10","0.39","0.21","1.70","0.027","15.00","72.00","0.9894","3.50","0.45","12.50","6"
"7.40","0.30","0.30","5.20","0.053","45.00","163.00","0.9941","3.12","0.45","10.30","6"
"8.20","0.26","0.44","1.30","0.046","7.00","69.00","0.9944","3.14","0.62","10.20","4"
"6.50","0.25","0.27","15.20","0.049","75.00","217.00","0.9972","3.19","0.39","9.90","5"
"7.80","0.27","0.34","1.60","0.046","27.00","154.00","0.9927","3.05","0.45","10.50","6"
"6.10","0.24","0.27","9.80","0.062","33.00","152.00","0.9966","3.31","0.47","9.50","6"
"7.60","0.21","0.60","2.10","0.046","47.00","165.00","0.9936","3.05","0.54","10.10","7"
"6.40","0.28","0.41","6.80","0.045","61.00","216.00","0.9952","3.09","0.46","9.40","5"
"7.70","0.16","0.41","1.70","0.048","60.00","173.00","0.9932","3.24","0.66","11.20","7"
"8.30","0.16","0.48","1.70","0.057","31.00","98.00","0.9943","3.15","0.41","10.30","6"
"8.60","0.20","0.42","1.50","0.041","35.00","125.00","0.9925","3.11","0.49","11.40","7"
"6.80","0.19","0.32","7.05","0.019","54.00","188.00","0.9935","3.25","0.37","11.10","8"
"7.60","0.19","0.38","10.60","0.06","48.00","174.00","0.9962","3.13","0.38","10.50","6"
"6.80","0.34","0.74","2.80","0.088","23.00","185.00","0.9928","3.51","0.70","12.00","6"
"8.80","0.17","0.38","1.80","0.04","39.00","148.00","0.9942","3.16","0.67","10.20","6"
"7.50","0.17","0.37","1.50","0.06","18.00","75.00","0.9936","3.54","0.88","10.70","5"
"8.20","0.68","0.30","2.10","0.047","17.00","138.00","0.995","3.22","0.71","10.80","4"
"6.50","0.19","0.10","1.30","0.046","23.00","107.00","0.9937","3.29","0.45","10.00","5"
"6.90","0.21","0.81","1.10","0.137","52.00","123.00","0.9932","3.03","0.39","9.20","6"
"7.60","0.29","0.42","1.30","0.035","18.00","86.00","0.9908","2.99","0.39","11.30","5"
"7.00","0.31","0.52","1.70","0.029","5.00","61.00","0.9918","3.07","0.43","10.40","5"
"8.60","0.26","0.41","2.20","0.049","29.00","111.00","0.9941","2.96","0.44","10.00","5"
"5.30","0.30","0.20","1.10","0.077","48.00","166.00","0.9944","3.30","0.54","8.70","4"
"6.70","0.26","0.26","4.10","0.073","36.00","202.00","0.9956","3.30","0.67","9.50","5"
"8.80","0.33","0.44","6.35","0.024","9.00","87.00","0.9917","2.96","0.40","12.60","7"
"6.90","0.20","0.36","1.50","0.031","38.00","147.00","0.9931","3.35","0.56","11.00","6"
"8.30","0.22","0.38","14.80","0.054","32.00","126.00","1.0002","3.22","0.50","9.70","5"
"6.40","0.40","0.19","3.20","0.033","28.00","124.00","0.9904","3.22","0.54","12.70","7"
"6.30","0.27","0.25","5.80","0.038","52.00","155.00","0.995","3.28","0.38","9.40","6"
"6.30","0.27","0.25","5.80","0.038","52.00","155.00","0.995","3.28","0.38","9.40","6"
"7.40","0.20","0.37","16.95","0.048","43.00","190.00","0.9995","3.03","0.42","9.20","6"
"8.30","0.21","0.58","17.10","0.049","62.00","213.00","1.0006","3.01","0.51","9.30","6"
"7.40","0.24","0.31","8.40","0.045","52.00","183.00","0.9963","3.09","0.32","8.80","5"
"6.50","0.28","0.26","8.80","0.04","44.00","139.00","0.9956","3.32","0.37","10.20","6"
"5.50","0.32","0.45","4.90","0.028","25.00","191.00","0.9922","3.51","0.49","11.50","7"
"6.10","0.29","0.27","1.70","0.024","13.00","76.00","0.9893","3.21","0.51","12.60","7"
"7.20","0.37","0.15","2.00","0.029","27.00","87.00","0.9903","3.30","0.59","12.60","7"
"7.00","0.15","0.38","2.20","0.047","33.00","96.00","0.9928","3.13","0.39","10.40","8"
"5.90","0.415","0.13","1.40","0.04","11.00","64.00","0.9922","3.29","0.52","10.50","5"
"5.80","0.415","0.13","1.40","0.04","11.00","64.00","0.9922","3.29","0.52","10.50","5"
"6.70","0.105","0.32","12.40","0.051","34.00","106.00","0.998","3.54","0.45","9.20","6"
"6.60","0.25","0.39","1.45","0.04","40.00","89.00","0.9911","3.35","0.40","11.40","7"
"9.80","0.36","0.45","1.60","0.042","11.00","124.00","0.9944","2.93","0.46","10.80","5"
"6.30","0.55","0.45","13.00","0.047","33.00","182.00","0.9974","3.20","0.46","9.20","6"
"6.90","0.23","0.34","4.00","0.047","24.00","128.00","0.9944","3.20","0.52","9.70","6"
"7.40","0.41","0.34","4.70","0.042","19.00","127.00","0.9953","3.25","0.42","10.40","5"
"6.70","0.25","0.34","12.85","0.048","30.00","161.00","0.9986","3.44","0.47","9.50","6"
"6.00","0.26","0.42","5.20","0.027","70.00","178.00","0.9914","3.40","0.40","12.30","8"
"9.20","0.28","0.46","3.20","0.058","39.00","133.00","0.996","3.14","0.58","9.50","5"
"9.00","0.31","0.49","6.90","0.034","26.00","91.00","0.9937","2.99","0.34","11.50","5"
"8.50","0.16","0.33","1.00","0.076","17.00","57.00","0.9921","3.14","0.46","10.60","6"
"9.30","0.34","0.49","7.30","0.052","30.00","146.00","0.998","3.17","0.61","10.20","5"
"6.80","0.32","0.18","7.50","0.041","71.00","223.00","0.9959","3.14","0.41","8.90","5"
"6.70","0.25","0.23","7.20","0.038","61.00","220.00","0.9952","3.14","0.35","9.50","5"
"6.90","0.32","0.17","7.60","0.042","69.00","219.00","0.9959","3.13","0.40","8.90","5"
"5.30","0.395","0.07","1.30","0.035","26.00","102.00","0.992","3.50","0.35","10.60","6"
"7.80","0.30","0.29","16.85","0.054","23.00","135.00","0.9998","3.16","0.38","9.00","6"
"7.50","0.14","0.34","1.30","0.055","50.00","153.00","0.9945","3.29","0.80","9.60","6"
"5.70","0.26","0.27","4.10","0.201","73.50","189.50","0.9942","3.27","0.38","9.40","6"
"6.00","0.24","0.32","6.30","0.03","34.00","129.00","0.9946","3.52","0.41","10.40","5"
"8.20","0.61","0.45","5.40","0.03","15.00","118.00","0.9954","3.14","0.34","9.60","5"
"6.80","0.25","0.29","2.00","0.042","19.00","189.00","0.9952","3.46","0.54","10.20","6"
"9.80","0.44","0.40","2.80","0.036","35.00","167.00","0.9956","2.97","0.39","9.20","5"
"7.40","0.22","0.33","2.00","0.045","31.00","101.00","0.9931","3.42","0.55","11.40","5"
"6.40","0.26","0.30","2.20","0.025","33.00","134.00","0.992","3.21","0.47","10.60","6"
"6.60","0.21","0.38","2.20","0.026","40.00","104.00","0.9914","3.25","0.40","11.10","8"
"7.10","0.26","0.32","14.45","0.074","29.00","107.00","0.998","2.96","0.42","9.20","6"
"7.00","0.17","0.37","1.50","0.028","26.00","75.00","0.9922","3.30","0.46","10.80","7"
"5.00","0.33","0.16","1.50","0.049","10.00","97.00","0.9917","3.48","0.44","10.70","6"
"7.60","0.32","0.36","1.60","0.04","32.00","155.00","0.993","3.23","0.52","11.30","6"
"8.00","0.61","0.38","12.10","0.301","24.00","220.00","0.9993","2.94","0.48","9.20","5"
"7.20","0.26","0.44","7.10","0.027","25.00","126.00","0.993","3.02","0.34","11.10","8"
"8.20","0.37","0.36","1.00","0.034","17.00","93.00","0.9906","3.04","0.32","11.70","8"
"7.60","0.28","0.39","1.20","0.038","21.00","115.00","0.994","3.16","0.67","10.00","6"
"8.00","0.28","0.42","7.10","0.045","41.00","169.00","0.9959","3.17","0.43","10.60","5"
"8.30","0.33","0.42","1.15","0.033","18.00","96.00","0.9911","3.20","0.32","12.40","3"
"7.70","0.39","0.30","5.20","0.037","29.00","131.00","0.9943","3.38","0.44","11.00","6"
"7.70","0.26","0.31","1.30","0.043","47.00","155.00","0.9937","3.42","0.50","10.10","6"
"6.80","0.32","0.37","3.40","0.023","19.00","87.00","0.9902","3.14","0.53","12.70","6"
"6.40","0.26","0.22","5.10","0.037","23.00","131.00","0.9944","3.29","0.32","10.10","5"
"5.70","0.245","0.33","1.10","0.049","28.00","150.00","0.9927","3.13","0.42","9.30","5"
"5.60","0.245","0.32","1.10","0.047","24.00","152.00","0.9927","3.12","0.42","9.30","6"
"7.30","0.25","0.41","1.80","0.037","52.00","165.00","0.9911","3.29","0.39","12.20","7"
"7.00","0.16","0.73","1.00","0.138","58.00","150.00","0.9936","3.08","0.30","9.20","5"
"6.40","0.22","0.34","1.80","0.057","29.00","104.00","0.9959","3.81","0.57","10.30","6"
"6.40","0.17","0.27","6.70","0.036","88.00","223.00","0.9948","3.28","0.35","10.20","6"
"6.20","0.21","0.38","6.80","0.036","64.00","245.00","0.9951","3.06","0.36","9.30","6"
"7.30","0.18","0.65","1.40","0.046","28.00","157.00","0.9946","3.33","0.62","9.40","6"
"7.20","0.14","0.35","1.20","0.036","15.00","73.00","0.9938","3.46","0.39","9.90","5"
"6.90","0.31","0.34","7.40","0.059","36.00","174.00","0.9963","3.46","0.62","11.10","7"
"7.50","0.28","0.34","4.20","0.028","36.00","116.00","0.991","2.99","0.41","12.30","8"
"8.40","0.35","0.56","13.80","0.048","55.00","190.00","0.9993","3.07","0.58","9.40","6"
"8.10","0.50","0.47","1.10","0.037","23.00","126.00","0.9938","3.21","0.42","10.90","5"
"8.10","0.50","0.47","1.10","0.037","23.00","126.00","0.9938","3.21","0.42","10.90","5"
"8.40","0.35","0.56","13.80","0.048","55.00","190.00","0.9993","3.07","0.58","9.40","6"
"7.00","0.24","0.36","4.90","0.083","10.00","133.00","0.9942","3.33","0.37","10.80","6"
"7.70","0.27","0.34","1.80","0.028","26.00","168.00","0.9911","2.99","0.48","12.10","7"
"8.30","0.21","0.40","1.60","0.032","35.00","110.00","0.9907","3.02","0.60","12.90","7"
"7.50","0.23","0.32","9.20","0.038","54.00","191.00","0.9966","3.04","0.56","9.70","6"
"6.20","0.17","0.30","1.10","0.037","14.00","79.00","0.993","3.50","0.54","10.30","6"
"6.90","0.39","0.22","4.30","0.03","10.00","102.00","0.993","3.00","0.87","11.60","4"
"7.30","0.42","0.38","6.80","0.045","29.00","122.00","0.9925","3.19","0.37","12.60","7"
"7.40","0.19","0.42","6.40","0.067","39.00","212.00","0.9958","3.30","0.33","9.60","6"
"8.20","0.20","0.36","8.10","0.035","60.00","163.00","0.9952","3.05","0.30","10.30","6"
"7.90","0.14","0.45","1.80","0.05","17.00","114.00","0.9948","3.33","0.49","10.70","7"
"6.80","0.24","0.40","1.80","0.047","34.00","105.00","0.99","3.13","0.49","12.80","8"
"6.40","0.15","0.31","1.10","0.044","25.00","96.00","0.9932","3.54","0.51","10.30","6"
"6.40","0.25","0.53","6.60","0.038","59.00","234.00","0.9955","3.03","0.42","8.80","5"
"7.30","0.43","0.37","4.60","0.028","17.00","114.00","0.991","3.23","0.43","13.20","6"
"5.10","0.31","0.30","0.90","0.037","28.00","152.00","0.992","3.54","0.56","10.10","6"
"6.20","0.20","0.26","1.70","0.093","40.00","161.00","0.9924","3.44","0.66","11.00","5"
"6.80","0.26","0.33","1.50","0.047","44.00","167.00","0.9928","3.12","0.44","10.50","6"
"7.80","0.21","0.39","1.80","0.034","62.00","180.00","0.991","3.09","0.75","12.60","8"
"5.70","0.21","0.24","2.30","0.047","60.00","189.00","0.995","3.65","0.72","10.10","6"
"6.70","0.18","0.30","6.40","0.048","40.00","251.00","0.9956","3.29","0.52","10.00","5"
"7.80","0.29","0.36","7.00","0.042","38.00","161.00","0.9941","3.26","0.37","11.20","8"
"6.70","0.18","0.30","6.40","0.048","40.00","251.00","0.9956","3.29","0.52","10.00","5"
"6.80","0.35","0.32","2.40","0.048","35.00","103.00","0.9911","3.28","0.46","12.00","8"
"6.20","0.12","0.26","5.70","0.044","56.00","158.00","0.9951","3.52","0.37","10.50","6"
"6.40","0.25","0.33","1.40","0.04","42.00","115.00","0.9906","3.19","0.48","11.30","7"
"6.90","0.32","0.16","1.40","0.051","15.00","96.00","0.994","3.22","0.38","9.50","4"
"6.70","0.13","0.28","1.20","0.046","35.00","140.00","0.9927","3.33","0.33","10.10","7"
"7.60","0.28","0.39","1.90","0.052","23.00","116.00","0.9941","3.25","0.40","10.40","6"
"10.70","0.22","0.56","8.20","0.044","37.00","181.00","0.998","2.87","0.68","9.50","6"
"6.90","0.27","0.41","1.70","0.047","6.00","134.00","0.9929","3.15","0.69","11.40","6"
"6.90","0.38","0.32","8.50","0.044","36.00","152.00","0.9932","3.38","0.35","12.00","7"
"6.80","0.23","0.40","1.60","0.047","5.00","133.00","0.993","3.23","0.70","11.40","6"
"6.60","0.42","0.33","2.80","0.034","15.00","85.00","0.99","3.28","0.51","13.40","6"
"8.10","0.19","0.40","0.90","0.037","73.00","180.00","0.9926","3.06","0.34","10.00","6"
"5.90","0.19","0.26","7.40","0.034","33.00","123.00","0.995","3.49","0.42","10.10","6"
"6.20","0.16","0.47","1.40","0.029","23.00","81.00","0.99","3.26","0.42","12.20","6"
"7.30","0.18","0.29","1.20","0.044","12.00","143.00","0.9918","3.20","0.48","11.30","7"
"7.30","0.25","0.36","13.10","0.05","35.00","200.00","0.9986","3.04","0.46","8.90","7"
"7.10","0.26","0.31","2.20","0.044","29.00","128.00","0.9937","3.34","0.64","10.90","8"
"6.30","0.39","0.24","6.90","0.069","9.00","117.00","0.9942","3.15","0.35","10.20","4"
"7.10","0.19","0.28","3.60","0.033","16.00","78.00","0.993","2.91","0.78","11.40","6"
"7.90","0.20","0.34","1.20","0.04","29.00","118.00","0.9932","3.14","0.41","10.60","6"
"6.90","0.30","0.33","4.10","0.035","26.00","155.00","0.9925","3.25","0.79","12.30","8"
"5.80","0.17","0.30","1.40","0.037","55.00","130.00","0.9909","3.29","0.38","11.30","6"
"6.60","0.23","0.26","1.30","0.045","16.00","128.00","0.9934","3.36","0.60","10.00","6"
"6.90","0.35","0.74","1.00","0.044","18.00","132.00","0.992","3.13","0.55","10.20","5"
"7.40","0.25","0.49","1.10","0.042","35.00","156.00","0.9917","3.13","0.55","11.30","5"
"8.20","0.18","0.49","1.10","0.033","28.00","81.00","0.9923","3.00","0.68","10.40","7"
"7.40","0.25","0.49","1.10","0.042","35.00","156.00","0.9917","3.13","0.55","11.30","5"
"8.50","0.56","0.74","17.85","0.051","51.00","243.00","1.0005","2.99","0.70","9.20","5"
"8.20","0.18","0.49","1.10","0.033","28.00","81.00","0.9923","3.00","0.68","10.40","7"
"6.30","0.23","0.49","7.10","0.05","67.00","210.00","0.9951","3.23","0.34","9.50","5"
"7.80","0.43","0.49","13.00","0.033","37.00","158.00","0.9955","3.14","0.35","11.30","6"
"7.40","0.16","0.49","1.20","0.055","18.00","150.00","0.9917","3.23","0.47","11.20","6"
"7.40","0.16","0.49","1.20","0.055","18.00","150.00","0.9917","3.23","0.47","11.20","6"
"7.80","0.43","0.49","13.00","0.033","37.00","158.00","0.9955","3.14","0.35","11.30","6"
"7.60","0.52","0.49","14.00","0.034","37.00","156.00","0.9958","3.14","0.38","11.80","7"
"8.30","0.20","0.74","4.45","0.044","33.00","130.00","0.9924","3.25","0.42","12.20","6"
"7.90","0.11","0.49","4.50","0.048","27.00","133.00","0.9946","3.24","0.42","10.60","6"
"8.50","0.17","0.74","3.60","0.05","29.00","128.00","0.9928","3.28","0.40","12.40","6"
"7.10","0.25","0.49","3.00","0.03","30.00","96.00","0.9903","3.13","0.39","12.30","7"
"7.20","0.40","0.49","1.10","0.048","11.00","138.00","0.9929","3.01","0.42","9.30","5"
"7.80","0.43","0.49","13.00","0.033","37.00","158.00","0.9955","3.14","0.35","11.30","6"
"6.90","0.25","0.24","3.60","0.057","13.00","85.00","0.9942","2.99","0.48","9.50","4"
"7.10","0.85","0.49","8.70","0.028","40.00","184.00","0.9962","3.22","0.36","10.70","5"
"7.60","0.51","0.24","1.20","0.04","10.00","104.00","0.992","3.05","0.29","10.80","6"
"6.90","0.25","0.24","3.60","0.057","13.00","85.00","0.9942","2.99","0.48","9.50","4"
"7.50","0.32","0.24","4.60","0.053","8.00","134.00","0.9958","3.14","0.50","9.10","3"
"6.20","0.15","0.49","0.90","0.033","17.00","51.00","0.9932","3.30","0.70","9.40","6"
"6.70","0.25","0.74","19.40","0.054","44.00","169.00","1.0004","3.51","0.45","9.80","6"
"7.90","0.16","0.74","17.85","0.037","52.00","187.00","0.9998","2.99","0.41","9.30","5"
"7.50","0.20","0.49","1.30","0.031","8.00","97.00","0.9918","3.06","0.62","11.10","5"
"8.00","0.34","0.49","9.00","0.033","39.00","180.00","0.9936","3.13","0.38","12.30","8"
"7.70","0.35","0.49","8.65","0.033","42.00","186.00","0.9931","3.14","0.38","12.40","8"
"7.60","0.29","0.49","9.60","0.03","45.00","197.00","0.9938","3.13","0.38","12.30","7"
"6.60","0.30","0.24","1.20","0.034","17.00","121.00","0.9933","3.13","0.36","9.20","5"
"9.20","0.18","0.49","1.50","0.041","39.00","130.00","0.9945","3.04","0.49","9.80","7"
"6.80","0.21","0.49","14.50","0.06","50.00","170.00","0.9991","3.55","0.44","9.80","6"
"7.90","0.20","0.49","1.60","0.053","15.00","144.00","0.993","3.16","0.47","10.50","5"
"7.30","0.155","0.49","1.30","0.039","34.00","136.00","0.9926","3.14","0.77","10.50","6"
"8.40","0.23","0.49","7.80","0.035","22.00","95.00","0.9935","3.04","0.34","12.00","6"
"8.00","0.25","0.49","9.00","0.044","31.00","185.00","0.998","3.34","0.49","10.00","6"
"14.20","0.27","0.49","1.10","0.037","33.00","156.00","0.992","3.15","0.54","11.10","6"
"7.40","0.27","0.49","1.10","0.037","33.00","156.00","0.992","3.15","0.54","11.10","6"
"7.20","0.27","0.74","12.50","0.037","47.00","156.00","0.9981","3.04","0.44","8.70","5"
"8.10","0.30","0.49","8.10","0.037","26.00","174.00","0.9943","3.10","0.30","11.20","7"
"7.30","0.26","0.49","5.00","0.028","32.00","107.00","0.9936","3.24","0.54","10.80","6"
"7.30","0.26","0.49","5.00","0.028","32.00","107.00","0.9936","3.24","0.54","10.80","6"
"7.10","0.53","0.24","0.80","0.029","29.00","86.00","0.993","3.16","0.32","9.10","4"
"7.20","0.16","0.49","1.30","0.037","27.00","104.00","0.9924","3.23","0.57","10.60","6"
"8.90","0.13","0.49","1.00","0.028","6.00","24.00","0.9926","2.91","0.32","9.90","5"
"8.50","0.15","0.49","1.50","0.031","17.00","122.00","0.9932","3.03","0.40","10.30","6"
"7.30","0.21","0.49","1.80","0.038","44.00","152.00","0.9912","3.32","0.44","12.60","7"
"7.90","0.42","0.49","8.20","0.056","32.00","164.00","0.9965","3.29","0.60","11.20","7"
"7.90","0.18","0.49","5.20","0.051","36.00","157.00","0.9953","3.18","0.48","10.60","6"
"6.20","0.43","0.49","6.40","0.045","12.00","115.00","0.9963","3.27","0.57","9.00","4"
"8.80","0.35","0.49","1.00","0.036","14.00","56.00","0.992","2.96","0.33","10.50","4"
"9.10","0.28","0.49","2.00","0.059","10.00","112.00","0.9958","3.15","0.46","10.10","5"
"7.50","0.19","0.49","1.80","0.055","19.00","110.00","0.9946","3.33","0.44","9.90","5"
"7.40","0.30","0.49","8.20","0.055","49.00","188.00","0.9974","3.52","0.58","9.70","6"
"6.70","0.30","0.74","5.00","0.038","35.00","157.00","0.9945","3.21","0.46","9.90","5"
"7.40","0.30","0.49","8.20","0.055","49.00","188.00","0.9974","3.52","0.58","9.70","6"
"8.40","0.24","0.49","7.40","0.039","46.00","108.00","0.9934","3.03","0.33","11.90","7"
"7.30","0.30","0.74","13.50","0.039","46.00","165.00","0.9982","3.02","0.40","8.70","5"
"7.00","0.27","0.74","1.50","0.036","27.00","122.00","0.9926","3.35","0.48","11.20","6"
"6.40","0.12","0.49","6.40","0.042","49.00","161.00","0.9945","3.34","0.44","10.40","6"
"8.60","0.16","0.49","7.30","0.043","9.00","63.00","0.9953","3.13","0.59","10.50","6"
"7.00","0.29","0.49","3.80","0.047","37.00","136.00","0.9938","2.95","0.40","9.40","6"
"5.60","0.41","0.24","1.90","0.034","10.00","53.00","0.98815","3.32","0.50","13.50","7"
"5.80","0.19","0.49","4.90","0.04","44.00","118.00","0.9935","3.34","0.38","9.50","7"
"8.10","0.20","0.49","11.80","0.048","46.00","212.00","0.9968","3.09","0.46","10.00","7"
"7.50","0.19","0.49","1.60","0.047","42.00","140.00","0.9932","3.40","0.47","10.70","6"
"6.50","0.44","0.49","7.70","0.045","16.00","169.00","0.9957","3.11","0.37","8.70","6"
"9.00","0.17","0.49","1.00","0.039","46.00","131.00","0.993","3.09","0.51","10.50","7"
"7.10","0.28","0.49","6.50","0.041","28.00","111.00","0.9926","3.41","0.58","12.20","8"
"8.30","0.25","0.49","16.80","0.048","50.00","228.00","1.0001","3.03","0.52","9.20","6"
"7.80","0.49","0.49","7.00","0.043","29.00","149.00","0.9952","3.21","0.33","10.00","5"
"7.30","0.19","0.49","15.55","0.058","50.00","134.00","0.9998","3.42","0.36","9.10","7"
"8.10","0.30","0.49","12.30","0.049","50.00","144.00","0.9971","3.09","0.57","10.20","7"
"7.80","0.21","0.49","1.20","0.036","20.00","99.00","0.99","3.05","0.28","12.10","7"
"6.90","0.26","0.49","1.60","0.058","39.00","166.00","0.9965","3.65","0.52","9.40","4"
"7.60","0.31","0.49","3.95","0.044","27.00","131.00","0.9912","3.08","0.67","12.80","7"
"6.40","0.42","0.74","12.80","0.076","48.00","209.00","0.9978","3.12","0.58","9.00","6"
"7.80","0.28","0.49","1.30","0.046","27.00","142.00","0.9936","3.09","0.59","10.20","5"
"7.80","0.40","0.49","7.80","0.06","34.00","162.00","0.9966","3.26","0.58","11.30","6"
"6.60","0.31","0.49","7.70","0.05","52.00","220.00","0.9964","3.12","0.45","8.80","5"
"6.70","0.26","0.49","8.30","0.047","54.00","191.00","0.9954","3.23","0.40","10.30","6"
"7.90","0.33","0.28","31.60","0.053","35.00","176.00","1.0103","3.15","0.38","8.80","6"
"8.80","0.39","0.34","5.90","0.055","33.00","128.00","0.9927","2.95","0.51","11.80","6"
"7.10","0.31","0.38","1.20","0.036","10.00","124.00","0.9924","3.14","0.44","9.90","6"
"7.30","0.23","0.37","1.80","0.032","60.00","156.00","0.992","3.11","0.35","11.10","6"
"6.20","0.30","0.20","6.60","0.045","42.00","170.00","0.9944","3.36","0.45","10.40","6"
"7.30","0.26","0.33","17.85","0.049","41.50","195.00","1.00","3.06","0.44","9.10","7"
"7.30","0.26","0.33","17.85","0.049","41.50","195.00","1.00","3.06","0.44","9.10","7"
"7.00","0.24","0.30","4.20","0.04","41.00","213.00","0.9927","3.28","0.49","11.80","6"
"8.50","0.32","0.36","14.90","0.041","47.00","190.00","0.9982","3.08","0.31","10.00","6"
"7.00","0.24","0.30","4.20","0.04","41.00","213.00","0.9927","3.28","0.49","11.80","6"
"6.50","0.27","0.19","4.20","0.046","6.00","114.00","0.9955","3.25","0.35","8.60","4"
"6.80","0.26","0.29","16.95","0.056","48.00","179.00","0.9998","3.45","0.40","9.60","5"
"7.00","0.61","0.26","1.70","0.051","25.00","161.00","0.9946","3.36","0.60","10.60","4"
"7.00","0.21","0.31","6.00","0.046","29.00","108.00","0.9939","3.26","0.50","10.80","6"
"9.30","0.20","0.33","1.70","0.05","28.00","178.00","0.9954","3.16","0.43","9.00","4"
"5.80","0.23","0.27","1.80","0.043","24.00","69.00","0.9933","3.38","0.31","9.40","6"
"7.60","0.20","0.39","2.60","0.044","30.00","180.00","0.9941","3.46","0.44","10.80","7"
"7.00","0.13","0.30","5.00","0.056","31.00","122.00","0.9945","3.47","0.42","10.50","6"
"6.90","0.16","0.30","9.60","0.057","50.00","185.00","0.9978","3.39","0.38","9.60","6"
"8.00","0.32","0.36","4.60","0.042","56.00","178.00","0.9928","3.29","0.47","12.00","6"
"6.10","0.22","0.23","3.10","0.052","15.00","104.00","0.9948","3.14","0.42","8.70","5"
"6.60","0.22","0.58","1.10","0.133","52.00","136.00","0.9932","3.10","0.30","9.10","5"
"7.40","0.18","0.30","10.40","0.045","44.00","174.00","0.9966","3.11","0.57","9.70","6"
"6.10","0.255","0.44","12.30","0.045","53.00","197.00","0.9967","3.24","0.54","9.50","6"
"9.60","0.21","0.28","1.20","0.038","12.00","53.00","0.9926","2.80","0.46","10.60","5"
"6.40","0.28","0.19","5.40","0.042","67.00","181.00","0.99435","3.31","0.35","10.20","6"
"8.00","0.30","0.28","5.70","0.044","31.00","124.00","0.9948","3.16","0.51","10.20","6"
"6.40","0.17","0.27","1.50","0.037","20.00","98.00","0.9916","3.46","0.42","11.00","7"
"7.30","0.21","0.30","10.90","0.037","18.00","112.00","0.997","3.40","0.50","9.60","6"
"6.90","0.29","0.23","8.60","0.056","56.00","215.00","0.9967","3.17","0.44","8.80","5"
"7.40","0.32","0.22","1.70","0.051","50.00","179.00","0.9955","3.28","0.69","8.90","5"
"7.70","0.43","0.28","4.50","0.046","33.00","102.00","0.9918","3.16","0.56","12.20","7"
"7.80","0.40","0.26","9.50","0.059","32.00","178.00","0.9955","3.04","0.43","10.90","6"
"6.90","0.19","0.28","3.00","0.054","33.00","99.00","0.9924","3.16","0.40","10.80","6"
"7.70","0.49","1.00","19.60","0.03","28.00","135.00","0.9973","3.24","0.40","12.00","6"
"6.40","0.15","0.36","1.80","0.034","43.00","150.00","0.9922","3.42","0.69","11.00","8"
"6.60","0.37","0.24","2.00","0.064","23.00","120.00","0.9946","3.32","0.54","9.40","5"
"7.10","0.37","0.32","1.40","0.037","27.00","126.00","0.9918","3.19","0.62","12.00","5"
"6.80","0.23","0.29","15.40","0.073","56.00","173.00","0.9984","3.06","0.41","8.70","6"
"6.80","0.23","0.29","15.40","0.073","56.00","173.00","0.9984","3.06","0.41","8.70","6"
"7.60","0.30","0.22","10.20","0.049","57.00","191.00","0.9966","3.08","0.40","9.30","6"
"7.50","0.33","0.39","12.40","0.065","29.00","119.00","0.9974","3.16","0.39","9.40","5"
"8.80","0.20","0.43","15.00","0.053","60.00","184.00","1.0008","3.28","0.79","8.80","6"
"8.80","0.20","0.43","15.00","0.053","60.00","184.00","1.0008","3.28","0.79","8.80","6"
"7.60","0.38","0.20","3.40","0.046","9.00","116.00","0.9944","3.15","0.41","9.40","5"
"5.60","0.46","0.24","4.80","0.042","24.00","72.00","0.9908","3.29","0.37","12.60","6"
"6.70","0.27","0.30","13.90","0.029","34.00","131.00","0.9953","3.36","0.50","12.00","7"
"6.80","0.33","0.28","1.20","0.032","38.00","131.00","0.9889","3.19","0.41","13.00","6"
"7.40","0.29","0.31","1.70","0.035","23.00","110.00","0.9926","3.07","0.38","10.90","5"
"7.30","0.19","0.24","6.30","0.054","34.00","231.00","0.9964","3.36","0.54","10.00","6"
"7.30","0.17","0.23","6.30","0.051","35.00","240.00","0.9963","3.36","0.54","10.00","6"
"8.00","0.55","0.42","12.60","0.211","37.00","213.00","0.9988","2.99","0.56","9.30","5"
"7.00","0.19","0.23","5.70","0.123","27.00","104.00","0.9954","3.04","0.54","9.40","6"
